epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,12305,0.51102,0.46985,1.03928,0.82298,0.89082,0.8805,0.7337,0.54838,0.56206,1.08633,0.0005942,0.0005942,0.0005942
73,12476.3,0.52062,0.47731,1.03991,0.86249,0.88623,0.88763,0.75315,0.56296,0.50184,1.09705,0.0005744,0.0005744,0.0005744
74,12646.6,0.5305,0.48628,1.0505,0.87832,0.9077,0.90651,0.7697,0.52628,0.45922,1.06324,0.0005546,0.0005546,0.0005546
75,12818,0.51808,0.4648,1.04499,0.83157,0.88692,0.87482,0.7499,0.56223,0.49233,1.09268,0.0005348,0.0005348,0.0005348
76,12989.6,0.50161,0.44486,1.03193,0.87462,0.87425,0.88681,0.73284,0.58891,0.51221,1.1182,0.000515,0.000515,0.000515
77,13161.2,0.47989,0.44049,1.03159,0.84277,0.89871,0.88373,0.74308,0.57786,0.52835,1.10439,0.0004952,0.0004952,0.0004952
78,13331.9,0.50517,0.45915,1.04195,0.83512,0.90989,0.90072,0.76276,0.56477,0.48929,1.07895,0.0004754,0.0004754,0.0004754
79,13500.5,0.50388,0.45167,1.02117,0.87746,0.86228,0.90114,0.77027,0.54155,0.47771,1.07249,0.0004556,0.0004556,0.0004556
80,13670.5,0.47626,0.46908,1.02613,0.85122,0.89076,0.90747,0.75601,0.54698,0.48477,1.08369,0.0004358,0.0004358,0.0004358
81,13839.2,0.49299,0.43859,1.04164,0.869,0.89222,0.89496,0.77146,0.55108,0.48637,1.07304,0.000416,0.000416,0.000416
82,14010.7,0.49245,0.44357,1.03316,0.84761,0.90419,0.91125,0.77615,0.55212,0.48313,1.08642,0.0003962,0.0003962,0.0003962
83,14180.9,0.47485,0.41673,1.01666,0.85136,0.89177,0.90447,0.76781,0.54904,0.47173,1.08191,0.0003764,0.0003764,0.0003764
84,14350.9,0.49175,0.43284,1.03397,0.85489,0.87425,0.89628,0.76888,0.53545,0.48208,1.06895,0.0003566,0.0003566,0.0003566
85,14522.4,0.47589,0.44188,1.02387,0.85466,0.88032,0.89451,0.76181,0.56584,0.48901,1.09564,0.0003368,0.0003368,0.0003368
86,14694.8,0.47327,0.43365,1.01963,0.86371,0.8982,0.89396,0.75652,0.56004,0.49888,1.09209,0.000317,0.000317,0.000317
87,14865.7,0.44285,0.40691,1.00177,0.87427,0.89222,0.90101,0.76792,0.55212,0.47098,1.08847,0.0002972,0.0002972,0.0002972
88,15036.2,0.4729,0.40476,1.02895,0.87488,0.87924,0.90121,0.76689,0.53768,0.48954,1.07023,0.0002774,0.0002774,0.0002774
89,15205.7,0.4802,0.43066,1.01002,0.85271,0.8982,0.90843,0.76929,0.53748,0.45257,1.06215,0.0002576,0.0002576,0.0002576
90,15375.3,0.44939,0.39865,1.00238,0.86654,0.87425,0.90362,0.77419,0.5487,0.46709,1.07183,0.0002378,0.0002378,0.0002378
91,15541.5,0.40878,0.39223,1.01176,0.86191,0.89222,0.90788,0.77229,0.54689,0.49363,1.07498,0.000218,0.000218,0.000218
92,15709.9,0.41056,0.34439,1.00917,0.89945,0.8503,0.89991,0.75578,0.54863,0.49358,1.08625,0.0001982,0.0001982,0.0001982
93,15875.8,0.39378,0.35332,0.98675,0.84689,0.89429,0.91185,0.76718,0.53487,0.47012,1.06443,0.0001784,0.0001784,0.0001784
94,16042.7,0.38873,0.32673,0.9812,0.84776,0.90028,0.91185,0.77512,0.53,0.46243,1.05476,0.0001586,0.0001586,0.0001586
95,16208.2,0.38094,0.34261,0.99061,0.86701,0.85887,0.91002,0.76805,0.55227,0.46659,1.07769,0.0001388,0.0001388,0.0001388
96,16375.3,0.38783,0.31677,0.99125,0.88772,0.88024,0.92392,0.7846,0.51294,0.43351,1.0466,0.000119,0.000119,0.000119
97,16543.1,0.38204,0.32912,0.99827,0.85603,0.92569,0.9175,0.7794,0.51149,0.4591,1.04349,9.92e-05,9.92e-05,9.92e-05
98,16709,0.3769,0.30228,0.97295,0.85808,0.9051,0.90252,0.77325,0.51421,0.4601,1.04527,7.94e-05,7.94e-05,7.94e-05
99,16877.3,0.37568,0.29461,0.98478,0.89595,0.88623,0.91289,0.77197,0.51563,0.45516,1.04616,5.96e-05,5.96e-05,5.96e-05
100,17044.2,0.37041,0.30784,0.97045,0.89247,0.88623,0.91397,0.77258,0.51689,0.45387,1.04928,3.98e-05,3.98e-05,3.98e-05
