epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,6137.51,1.16695,1.00135,1.17264,0.97835,0.86667,0.93363,0.53408,1.00013,0.79377,0.85766,0.0004952,0.0004952,0.0004952
78,6217.83,1.15475,0.95215,1.16619,0.93203,0.91513,0.95781,0.53895,0.94975,0.78875,0.82769,0.0004754,0.0004754,0.0004754
79,6299.38,1.16908,1.03758,1.14725,0.86199,0.93333,0.87807,0.48157,0.8895,0.85567,0.85819,0.0004556,0.0004556,0.0004556
80,6381.18,1.17811,1.00695,1.16235,0.86112,0.93333,0.86222,0.46773,0.86968,0.83849,0.82544,0.0004358,0.0004358,0.0004358
81,6461.48,1.11084,0.93954,1.1528,0.86659,0.93333,0.88946,0.49342,0.88044,0.78209,0.82117,0.000416,0.000416,0.000416
82,6542.24,1.16018,0.99337,1.19959,0.89185,0.93333,0.913,0.49793,0.88824,0.78122,0.82661,0.0003962,0.0003962,0.0003962
83,6623.14,1.23936,1.03821,1.23512,0.8621,0.93333,0.93554,0.52876,0.90011,0.81122,0.83708,0.0003764,0.0003764,0.0003764
84,6703.44,1.11662,0.93071,1.17388,0.93301,0.9288,0.96258,0.52845,0.93892,0.78445,0.83963,0.0003566,0.0003566,0.0003566
85,6783.83,1.17084,1.01701,1.18839,0.93067,0.896,0.96946,0.55336,0.95874,0.72856,0.82827,0.0003368,0.0003368,0.0003368
86,6864.21,1.17405,0.98279,1.21322,0.82978,0.97582,0.9675,0.54771,0.95714,0.71015,0.83677,0.000317,0.000317,0.000317
87,6944.54,1.05474,0.96905,1.16458,0.92167,0.86667,0.96265,0.52558,0.93934,0.71939,0.84239,0.0002972,0.0002972,0.0002972
88,7025.66,1.00779,0.88478,1.12893,1,0.85435,0.96225,0.55,0.92614,0.72133,0.85803,0.0002774,0.0002774,0.0002774
89,7106.12,1.14996,1.09294,1.26883,0.93044,0.89282,0.97319,0.5277,0.91585,0.73544,0.85644,0.0002576,0.0002576,0.0002576
90,7186.65,1.0477,0.96601,1.12305,0.91783,0.93333,0.98033,0.53296,0.94683,0.74086,0.85879,0.0002378,0.0002378,0.0002378
91,7266.91,1.10297,1.04185,1.21696,0.95857,0.93333,0.98,0.53393,0.97555,0.67324,0.85985,0.000218,0.000218,0.000218
92,7347.17,1.01852,0.8901,1.12814,1,0.92241,0.985,0.55078,0.94618,0.64139,0.83471,0.0001982,0.0001982,0.0001982
93,7427.01,1.03484,0.87286,1.19143,0.98248,0.86667,0.97625,0.55773,0.95639,0.6507,0.83427,0.0001784,0.0001784,0.0001784
94,7506.57,1.05049,0.88271,1.18153,0.97474,0.86667,0.97625,0.56368,0.94511,0.66264,0.83211,0.0001586,0.0001586,0.0001586
95,7585.91,1.0212,0.83006,1.1174,0.98194,0.86667,0.97125,0.54821,0.96161,0.66774,0.84509,0.0001388,0.0001388,0.0001388
96,7665.71,1.1387,0.99137,1.29158,0.97192,0.86667,0.96765,0.55852,0.97192,0.67819,0.8385,0.000119,0.000119,0.000119
97,7745.57,1.01581,0.79775,1.16148,0.98319,0.86667,0.96356,0.56115,0.96905,0.67908,0.83466,9.92e-05,9.92e-05,9.92e-05
98,7826.57,1.11898,0.86386,1.1933,1,0.85908,0.96716,0.54526,0.95969,0.67041,0.83432,7.94e-05,7.94e-05,7.94e-05
99,7909.76,0.96828,0.8591,1.10748,0.99804,0.86667,0.96716,0.54517,0.95366,0.66934,0.83406,5.96e-05,5.96e-05,5.96e-05
100,7990.34,0.95804,0.85538,1.22665,0.98792,0.86667,0.96716,0.5468,0.94917,0.66397,0.83319,3.98e-05,3.98e-05,3.98e-05
